Paper_ID,File_Name,PDF_Path,Size_Bytes,Pages,Text_Characters,Extraction_Status,Text_Extraction_Error
P001,1.AI-FOR-SCIENCE LOW-CODE PLATFORM WITH.pdf,research paper\1.AI-FOR-SCIENCE LOW-CODE PLATFORM WITH.pdf,3703073,38,96937,Completed,
P002,2.LOW-CODE AND NO-CODE WITH BESSER TO CREATE AND.pdf,research paper\2.LOW-CODE AND NO-CODE WITH BESSER TO CREATE AND.pdf,385550,5,9984,Completed,
P003,3.Design Behaviour and Interface Consistency in Generative No-Code Tools A Systematic Literature Review.pdf,research paper\3.Design Behaviour and Interface Consistency in Generative No-Code Tools A Systematic Literature Review.pdf,1494695,25,76738,Completed,
P004,4.LLM4FaaS No-Code Application Development using LLMs.pdf,research paper\4.LLM4FaaS No-Code Application Development using LLMs.pdf,738559,8,44667,Completed,
P005,5.Exploring Influence Factors on LLM Suitability for No-Code.pdf,research paper\5.Exploring Influence Factors on LLM Suitability for No-Code.pdf,1267462,23,95918,Completed,
P006,6.DMN-Guided Prompting A Framework for Controlling.pdf,research paper\6.DMN-Guided Prompting A Framework for Controlling.pdf,929061,15,40096,Completed,
P007,7.Fine-Tune an SLM or Prompt an LLM The Case of Generating.pdf,research paper\7.Fine-Tune an SLM or Prompt an LLM The Case of Generating.pdf,422036,8,37508,Completed,
P008,8.NoCode-bench A Benchmark for Evaluating Natural.pdf,research paper\8.NoCode-bench A Benchmark for Evaluating Natural.pdf,1810245,12,71234,Completed,
P009,9.Review of Tools for Zero-Code LLM Based.pdf,research paper\9.Review of Tools for Zero-Code LLM Based.pdf,1842150,19,47856,Completed,
P010,10.LArc_ICSA2025__Towards_AI_powered_consistency_keeping_in_model_based_low_code_platforms.pdf,research paper\10.LArc_ICSA2025__Towards_AI_powered_consistency_keeping_in_model_based_low_code_platforms.pdf,538668,6,34697,Completed,
P011,11.Low-Code and No-Code Development in the Era of Artificial Intelligence.pdf,research paper\11.Low-Code and No-Code Development in the Era of Artificial Intelligence.pdf,453561,12,48980,Completed,
P012,12.Information Systems Journal - 2025 - Viljoen - Navigating Flexibility and Standardisation in Low‐Code No‐Code Development.pdf,research paper\12.Information Systems Journal - 2025 - Viljoen - Navigating Flexibility and Standardisation in Low‐Code No‐Code Development.pdf,420138,15,85341,Completed,
P013,13.Bridging Business and IT Through Low-Code No-Code.pdf,research paper\13.Bridging Business and IT Through Low-Code No-Code.pdf,772063,10,54331,Completed,
P014,14.Democratizing Digital Transformation..pdf,research paper\14.Democratizing Digital Transformation..pdf,450248,17,63826,Completed,
P015,15.Potentials and Risks of the Low-Code Development.pdf,research paper\15.Potentials and Risks of the Low-Code Development.pdf,91339,2,5785,Completed,
P016,16.Addressing Skills Shortages through Low-Code.pdf,research paper\16.Addressing Skills Shortages through Low-Code.pdf,1203896,11,56169,Completed,
P017,17.Low-code to fight climate change.pdf,research paper\17.Low-code to fight climate change.pdf,1002457,8,20809,Completed,
P018,18.Adoption of low-code and no-code development.pdf,research paper\18.Adoption of low-code and no-code development.pdf,3247857,25,155348,Completed,
P019,19.Democratizing Machine Learning.pdf,research paper\19.Democratizing Machine Learning.pdf,1150287,24,79030,Completed,
P020,20.Building BESSER.pdf,research paper\20.Building BESSER.pdf,538615,10,22254,Completed,
P021,21.An Empirical Study on Low Code Programming using Traditional vs Large Language Model Support.pdf,research paper\21.An Empirical Study on Low Code Programming using Traditional vs Large Language Model Support.pdf,417472,20,97550,Completed,
P022,22.Turning Low-Code Development Platforms into True No-Code with LLMs.pdf,research paper\22.Turning Low-Code Development Platforms into True No-Code with LLMs.pdf,3649555,11,56357,Completed,
P023,23.Low-code vs the developer.pdf,research paper\23.Low-code vs the developer.pdf,604285,10,60415,Completed,
P024,24.Measuring End-user Developers.pdf,research paper\24.Measuring End-user Developers.pdf,426394,24,86448,Completed,
P025,25.Using LowCode and NoCode Tools in DevOps.pdf,research paper\25.Using LowCode and NoCode Tools in DevOps.pdf,418740,17,42814,Completed,
P026,26.Whats Wrong With Low-Code Development.pdf,research paper\26.Whats Wrong With Low-Code Development.pdf,966881,15,85067,Completed,
P027,27.Combining low-code development with ChatGPT to novel no-code.pdf,research paper\27.Combining low-code development with ChatGPT to novel no-code.pdf,2254655,12,74438,Completed,
P028,28.Algorithms in Low-Code-No-Code for Research Applications.pdf,research paper\28.Algorithms in Low-Code-No-Code for Research Applications.pdf,5035602,23,84776,Completed,
P029,29.Exploring Low-Code Development.pdf,research paper\29.Exploring Low-Code Development.pdf,761950,19,69133,Completed,
P030,30.Developer discussion topics on the adoption and barriers of low code software development platforms.pdf,research paper\30.Developer discussion topics on the adoption and barriers of low code software development platforms.pdf,6591425,60,177966,Completed,
P031,31.A No-Code Workflow Builder for Non-Experts with Natural Language and Multi-Agent Collaboration.pdf,research paper\31.A No-Code Workflow Builder for Non-Experts with Natural Language and Multi-Agent Collaboration.pdf,4218315,14,81191,Completed,
P032,32.AutoGen Studio.pdf,research paper\32.AutoGen Studio.pdf,2399827,8,31971,Completed,
P033,33.White-box LLM-supported Low-code Engineering.pdf,research paper\33.White-box LLM-supported Low-code Engineering.pdf,617959,5,27983,Completed,
P034,34.Towards the interoperability of low-code.pdf,research paper\34.Towards the interoperability of low-code.pdf,722346,16,39079,Completed,
P035,35.Zero-code Generation of Trigger-action Based IoT Programs.pdf,research paper\35.Zero-code Generation of Trigger-action Based IoT Programs.pdf,6008232,29,123524,Completed,
P036,36.Towards No-Code Programming of Cobots.pdf,research paper\36.Towards No-Code Programming of Cobots.pdf,5769215,37,107719,Completed,
P037,37.asanAI.pdf,research paper\37.asanAI.pdf,1395091,7,31416,Completed,
P038,38.A Low Code Development Platform for AI Applications in Industry.pdf,research paper\38.A Low Code Development Platform for AI Applications in Industry.pdf,3324803,8,40927,Completed,
P039,39.AI for Low-Code for AI.pdf,research paper\39.AI for Low-Code for AI.pdf,1716895,16,92475,Completed,
P040,40.Implementing Multimodal Large Language Model-Powered Multi-Agent Systems Using a No-Code Platform.pdf,research paper\40.Implementing Multimodal Large Language Model-Powered Multi-Agent Systems Using a No-Code Platform.pdf,2815671,22,80311,Completed,
P041,41.Memory Management and Contextual Consistency for Long-Running Low-Code Agents.pdf,research paper\41.Memory Management and Contextual Consistency for Long-Running Low-Code Agents.pdf,483649,12,29519,Completed,
P042,42.Agentic Metacognition.pdf,research paper\42.Agentic Metacognition.pdf,137683,9,31328,Completed,
P043,43.Improving the Developer Experience with a Low-Code Process Modelling Language.pdf,research paper\43.Improving the Developer Experience with a Low-Code Process Modelling Language.pdf,890007,11,64559,Completed,
P044,44.Feasibility of AI-Assisted Programming for End-User Development.pdf,research paper\44.Feasibility of AI-Assisted Programming for End-User Development.pdf,195232,12,31450,Completed,
P045,"45.A Configuration-First Framework for Reproducible, Low-Code Localization.pdf","research paper\45.A Configuration-First Framework for Reproducible, Low-Code Localization.pdf",3430271,12,63906,Completed,
P046,46.Requirements Engineering for No-Code Development.pdf,research paper\46.Requirements Engineering for No-Code Development.pdf,181455,8,23002,Completed,
P047,47.Emerging New Roles for Low-Code Software Development.pdf,research paper\47.Emerging New Roles for Low-Code Software Development.pdf,3184370,11,54251,Completed,
P048,48.Feasibility of Low-Code Development Platforms in Precision Agriculture Opportunities.pdf,research paper\48.Feasibility of Low-Code Development Platforms in Precision Agriculture Opportunities.pdf,752662,31,119590,Completed,
P049,49.Rafi - Low‐Code and No‐Code Tools  A Valuable Aid or a Potential Threat to Professional Developers.pdf,research paper\49.Rafi - Low‐Code and No‐Code Tools  A Valuable Aid or a Potential Threat to Professional Developers.pdf,1734537,18,85227,Completed,
P050,50.Explaining AI Without Code.pdf,research paper\50.Explaining AI Without Code.pdf,1382012,12,35863,Completed,
